UKREIS,UJAHR,UMONAT,UTAG,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP,LICHT,USTRZUSTAND,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,@lon,@lat
27,23,4,27,8,5,3,2,6,0,0,1,0,0,0,0,1,13.249142,51.310173
12,23,4,27,7,5,3,5,2,0,0,1,0,0,0,0,1,13.70423,51.043567
12,23,4,26,14,4,3,4,6,0,0,1,0,0,0,0,0,13.718429,51.039184
26,23,4,25,13,3,3,0,1,0,0,1,0,0,0,0,0,14.662531,51.51909
26,23,4,25,8,3,2,3,6,0,0,1,1,0,0,0,0,14.99495,51.148995
25,23,4,24,15,2,3,3,2,0,0,1,1,0,0,0,0,14.430281,51.180974
12,23,4,24,9,2,3,5,3,0,0,1,1,0,0,0,0,13.707012,51.0414
24,23,4,23,16,1,2,8,7,0,0,1,0,0,0,0,0,12.706143,50.767331
30,23,4,23,16,1,3,5,3,0,0,1,1,0,0,0,0,12.647949,51.46389
11,23,4,23,17,1,3,0,1,0,0,1,0,0,0,0,0,12.88077,50.867108
26,23,4,22,15,7,3,0,6,0,0,1,1,0,1,0,0,14.811968,50.897842
25,23,4,22,12,7,3,0,1,0,0,1,0,0,0,0,0,14.064804,51.352938
28,23,4,22,14,7,3,0,1,0,0,1,0,0,0,0,0,13.673256,50.835491
12,23,4,22,16,7,3,0,1,0,0,1,0,0,0,0,0,13.733325,51.039169
12,23,4,22,8,7,3,4,6,0,0,1,0,0,0,0,0,13.803149,50.995883
11,23,4,22,22,7,3,8,1,2,0,1,0,0,0,0,0,12.88449,50.801315
11,23,4,22,16,7,3,2,6,0,0,1,1,0,0,0,0,12.843268,50.804168
23,23,4,21,16,6,2,0,7,0,0,1,0,0,0,0,0,12.47044,50.371551
13,23,4,21,10,6,3,3,2,0,0,1,1,0,0,0,0,12.395024,51.342737
25,23,4,21,15,6,2,5,3,0,0,1,1,0,0,0,0,13.979156,51.130343
26,23,4,21,13,6,3,5,3,0,0,1,1,0,0,0,0,14.981639,51.146856
28,23,4,21,13,6,3,6,4,0,0,1,0,1,0,0,0,13.940444,50.951657
12,23,4,21,8,6,3,5,3,0,0,1,0,0,0,0,0,13.739332,51.044843
21,23,4,21,6,6,3,5,3,0,0,1,1,0,0,0,0,12.876785,50.776561
12,23,4,20,15,5,3,5,2,0,0,1,1,0,0,0,0,13.695801,51.04326
12,23,4,20,18,5,3,0,1,0,0,1,0,0,0,0,0,13.702648,51.09012
27,23,4,19,15,4,2,5,3,0,0,1,1,0,0,0,0,13.687969,51.123802
12,23,4,19,23,4,2,4,6,2,1,1,0,0,0,0,0,13.731282,51.034475
12,23,4,19,21,4,2,0,1,2,1,1,0,0,0,0,0,13.733322,51.038842
12,23,4,18,6,3,3,5,3,1,0,1,1,0,0,0,0,13.739274,51.0719
22,23,4,18,15,3,3,5,3,0,1,1,1,0,0,0,0,13.049618,50.880076
11,23,4,17,8,2,3,3,2,0,1,1,1,0,0,0,0,12.926527,50.833806
28,23,4,16,20,1,3,5,3,2,1,1,1,0,0,0,0,13.925276,50.983037
25,23,4,15,3,7,3,4,2,2,1,1,1,0,0,0,0,14.24883,51.43491
27,23,4,14,21,6,3,5,3,2,1,1,1,0,0,0,0,13.580529,51.12583
12,23,4,14,18,6,3,0,1,0,1,1,0,0,0,0,0,13.723177,51.089885
